#{"t_start": 1777563099.7796097, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.705,5,14.396603
0.528,8,14.405602
0.587,7,14.412601
0.056,16,14.424601
0.528,8,14.432664
0.587,7,14.440665
0.351,11,14.450722
-1.065,35,14.485825
-0.357,23,14.499825
0.469,9,14.507824
0.587,7,14.516824
0.233,13,14.529825
-0.534,26,14.556889
0.174,14,14.570937
0.469,9,14.579162
0.646,6,14.587161
0.705,5,14.591161
0.174,14,14.603161
0.469,9,14.611161
-0.239,21,14.634209
-0.888,32,14.665371
0.705,5,14.670371
0.174,14,14.683412
0.174,14,14.693407
0.646,6,14.700408
0.646,6,14.706408
0.705,5,14.713527
0.469,9,14.721527
0.587,7,14.731664
0.646,6,14.735664
0.469,9,14.741663
0.056,16,14.750664
0.41,10,14.757663
-0.298,22,14.772803
0.705,5,14.777929
0.705,5,14.780928
0.115,15,14.790927
0.351,11,14.797927
0.705,5,14.802927
0.115,15,14.815045
0.528,8,14.823045
0.528,8,14.831164
0.174,14,14.851164
0.469,9,14.859163
0.174,14,14.874163
0.41,10,14.883219
-0.357,23,14.901218
0.587,7,14.906218
0.646,6,14.909218
0.587,7,14.913335
0.587,7,14.918334
0.587,7,14.921333
0.351,11,14.928381
0.469,9,14.93338
0.233,13,14.944556
0.646,6,14.952555
0.528,8,14.962555
0.469,9,14.973555
0.646,6,14.982624
0.115,15,15.000624
0.41,10,15.008624
0.646,6,15.016694
0.351,11,15.025694
0.41,10,15.036893
0.646,6,15.041893
0.587,7,15.049114
0.705,5,15.054114
0.469,9,15.068315
0.646,6,15.071315
0.174,14,15.082688
0.705,5,15.085698
0.646,6,15.089698
0.587,7,15.094697
0.469,9,15.100697
0.587,7,15.106697
0.528,8,15.114776
0.587,7,15.122776
0.351,11,15.134904
0.351,11,15.143903
0.233,13,15.159019
0.587,7,15.165061
0.528,8,15.177061
0.528,8,15.185061
0.646,6,15.193061
0.587,7,15.200061
0.528,8,15.208063
0.705,5,15.211109
0.705,5,15.21411
0.646,6,15.219108
0.646,6,15.222108
0.469,9,15.229265
